date,open,high,low,close,volume
2025-06-02,135.49,138.12,135.4,137.38,197663116.0
2025-06-03,138.78,142.0,137.95,141.22,225578783.0
2025-06-04,142.19,142.39,139.545,141.92,167120819.0
2025-06-05,142.17,144.0,138.83,139.99,232410759.0
2025-06-06,142.51,143.27,141.51,141.72,153986153.0
2025-06-09,143.19,145.0,141.94,142.63,185114494.0
2025-06-10,142.69,144.29,141.525,143.96,155881897.0
2025-06-11,144.61,144.99,141.87,142.83,167694044.0
2025-06-12,141.97,145.0,141.85,145.0,162364991.0
2025-06-13,142.48,143.58,140.855,141.97,180820565.0
2025-06-16,143.345,146.175,143.2001,144.69,183133666.0
2025-06-17,144.49,145.22,143.78,144.12,139108000.0
2025-06-18,144.005,145.65,143.12,145.48,161494121.0
2025-06-20,145.45,146.2,142.65,143.85,242956157.0
2025-06-23,142.5,144.78,142.03,144.17,154308941.0
2025-06-24,145.56,147.96,145.5,147.9,187566121.0
2025-06-25,149.27,154.45,149.26,154.31,269146471.0
2025-06-26,155.975,156.715,154.0,155.02,198145746.0
2025-06-27,156.04,158.71,155.255,157.75,263234539.0
2025-06-30,158.4,158.66,155.96,157.99,194580316.0
2025-07-01,156.29,157.2,151.49,153.3,213143621.0
2025-07-02,152.98,157.6,152.97,157.25,171224111.0
2025-07-03,158.37,160.98,157.77,159.34,143716055.0
2025-07-07,158.2,159.31,157.342,158.24,140138975.0
2025-07-08,159.33,160.22,158.39,160.0,138133025.0
2025-07-09,161.22,164.42,161.16,162.88,183656443.0
2025-07-10,164.32,164.5,161.61,164.1,167704075.0
2025-07-11,163.715,167.89,163.47,164.92,193633263.0
2025-07-14,165.37,165.49,162.02,164.07,136975754.0
2025-07-15,171.19,172.4,169.195,170.7,230627350.0
2025-07-16,171.06,171.75,168.9,171.37,158831509.0
2025-07-17,172.02,174.16,170.83,173.0,160841119.0
2025-07-18,173.64,174.25,171.26,172.41,146456416.0
2025-07-21,172.75,173.38,171.0,171.38,123126136.0
2025-07-22,171.34,171.39,164.58,167.03,193114327.0
2025-07-23,169.53,171.26,167.97,170.78,154082197.0
2025-07-24,172.44,173.83,171.3,173.74,128984628.0
2025-07-25,173.61,174.72,172.96,173.5,122316792.0
2025-07-28,174.02,177.0,173.97,176.75,140023521.0
2025-07-29,177.96,179.38,175.02,175.51,154077512.0
2025-07-30,176.51,179.89,176.04,179.27,174312208.0
2025-07-31,182.9,183.3,175.93,177.87,221685446.0
2025-08-01,174.09,176.54,170.89,173.72,204528985.0
2025-08-04,175.16,180.2,174.52,180.0,148174609.0
2025-08-05,179.62,180.26,175.9,178.26,156407621.0
2025-08-06,176.325,179.9,176.25,179.42,137192265.0
2025-08-07,181.57,183.88,178.795,180.77,151878365.0
2025-08-08,181.55,183.3,180.4,182.7,123396679.0
2025-08-11,182.05,183.84,180.25,182.06,138323191.0
2025-08-12,182.96,184.48,179.46,183.16,145729202.0
2025-08-13,182.615,183.97,179.35,181.59,179871724.0
2025-08-14,179.75,183.02,179.46,182.02,129553959.0
