date,open,high,low,close,volume
2025-06-02,112.68,113.6,112.25,112.95,7546839.0
2025-06-03,112.725,114.69,112.52,113.6,9738804.0
2025-06-04,113.855,114.05,112.9764,113.49,5614893.0
2025-06-05,113.73,114.34,111.8435,112.53,8550153.0
2025-06-06,113.36,114.22,113.21,113.9,5790664.0
2025-06-09,113.98,116.11,113.98,115.66,7960389.0
2025-06-10,115.525,120.5,115.525,118.73,18948440.0
2025-06-11,118.38,119.545,117.65,119.52,10439186.0
2025-06-12,118.87,119.39,117.66,118.61,7980313.0
2025-06-13,117.305,118.32,117.3,117.94,13204927.0
2025-06-16,118.02,120.3416,117.87,119.48,9592056.0
2025-06-17,118.99,119.33,117.645,118.13,9241183.0
2025-06-18,117.88,118.75,116.84,117.86,8181181.0
2025-06-20,118.25,119.05,116.9,117.63,17180437.0
2025-06-23,116.66,117.99,115.02,117.75,8347998.0
2025-06-24,117.75,119.08,117.75,118.65,8350221.0
2025-06-25,118.77,119.72,118.63,119.42,6976323.0
2025-06-26,119.98,121.67,119.68,121.46,10439595.0
2025-06-27,121.85,122.94,121.4844,122.34,13435553.0
2025-06-30,124.31,124.69,123.18,124.01,13456209.0
2025-07-01,123.5,123.755,122.45,123.49,9815654.0
2025-07-02,123.315,123.7,122.53,122.98,7317075.0
2025-07-03,123.065,124.24,122.9,124.0,4252305.0
2025-07-07,123.21,124.61,122.5788,123.16,7023455.0
2025-07-08,123.215,123.711,121.82,121.82,6622889.0
2025-07-09,121.835,122.35,120.61,120.61,6724923.0
2025-07-10,120.62,121.95,120.62,121.56,6893444.0
2025-07-11,120.64,121.2265,119.73,119.87,6112433.0
2025-07-14,119.775,120.5,119.6018,119.97,6853279.0
2025-07-15,120.23,120.23,118.88,118.98,7943647.0
2025-07-16,119.36,120.57,118.875,119.82,6747531.0
2025-07-17,119.75,122.39,119.75,122.21,9933689.0
2025-07-18,121.965,122.16,120.29,121.42,9486785.0
2025-07-21,121.07,121.9699,120.78,120.84,6392470.0
2025-07-22,120.75,121.43,120.56,121.06,5614473.0
2025-07-23,121.52,123.18,121.5,122.94,8258934.0
2025-07-24,122.85,123.4,121.81,121.95,6702242.0
2025-07-25,122.255,122.45,120.87,121.47,5656575.0
2025-07-28,121.03,121.4,119.8889,120.37,6042152.0
2025-07-29,120.58,120.805,119.36,119.91,6283748.0
2025-07-30,119.95,120.5,119.175,119.54,5281457.0
2025-07-31,119.455,119.91,118.58,119.11,7235003.0
2025-08-01,117.585,117.8918,115.57,116.59,8637815.0
2025-08-04,117.725,119.52,117.725,119.35,8845043.0
2025-08-05,119.25,119.57,117.33,118.32,15365681.0
2025-08-06,115.775,116.1224,112.2,115.17,22153696.0
2025-08-07,115.75,116.4,111.82,112.88,15484435.0
2025-08-08,113.3,114.292,112.02,112.43,9490971.0
2025-08-11,112.91,113.15,111.54,112.55,8532602.0
2025-08-12,113.31,114.4,112.49,113.72,7275374.0
2025-08-13,114.23,117.23,114.15,116.64,9025741.0
2025-08-14,115.48,116.71,114.62,116.31,6800884.0
2025-08-15,116.57,116.84,115.19,115.39,6768603.0
2025-08-18,115.19,117.005,115.16,116.55,5798370.0
2025-08-19,116.5,116.99,115.72,116.27,5913959.0
2025-08-20,116.075,117.89,116.0,117.04,7046680.0
2025-08-21,116.57,116.66,115.53,116.21,6337059.0
2025-08-22,117.585,119.775,117.125,118.86,7161725.0
2025-08-25,118.49,119.05,117.7,117.71,5424937.0
2025-08-26,117.43,118.375,117.16,117.65,5787377.0
2025-08-27,117.53,118.46,117.29,118.09,4377994.0
2025-08-28,118.1,118.37,116.61,117.64,5687698.0
2025-08-29,117.39,118.645,117.245,118.38,5212602.0
2025-09-02,117.02,118.28,115.9965,118.27,6015871.0
2025-09-03,117.83,118.62,116.35,117.38,6288650.0
2025-09-04,117.08,119.675,116.76,118.81,6949291.0
2025-09-05,118.91,119.78,117.7,117.91,6669126.0
2025-09-08,117.96,118.88,116.74,118.84,6450670.0
2025-09-09,118.525,119.05,117.22,117.37,5444265.0
2025-09-10,116.85,117.51,114.495,115.79,7484866.0
2025-09-11,115.45,117.165,114.63,117.08,8399064.0
2025-09-12,116.26,117.01,115.1,115.96,7640875.0
2025-09-15,116.11,116.75,115.0,115.62,7150935.0
2025-09-16,115.45,115.85,114.71,115.23,6844852.0
2025-09-17,115.24,116.66,115.22,116.1,7333899.0
2025-09-18,115.33,115.78,114.05,114.86,9460509.0
2025-09-19,114.6,114.6,111.93,113.76,23398424.0
2025-09-22,111.76,113.63,111.52,112.56,15479834.0
2025-09-23,112.72,113.62,111.6,112.25,13145046.0
2025-09-24,112.41,114.1499,112.2,113.43,8755235.0
2025-09-25,112.71,114.05,112.65,112.99,6365502.0
2025-09-26,113.13,113.57,112.76,113.47,6145725.0
2025-09-29,113.47,115.01,113.33,114.78,9304136.0
2025-09-30,114.53,114.88,113.335,114.5,9303666.0
2025-10-01,114.08,116.059,112.79,112.95,9736341.0
2025-10-02,112.975,113.17,110.775,112.14,8695136.0
2025-10-03,112.035,113.57,111.56,112.47,7148378.0
2025-10-06,112.69,113.105,111.45,112.75,6141223.0
2025-10-07,112.63,113.4,111.8,112.53,5409754.0
2025-10-08,112.805,113.2,111.65,111.89,7074442.0
2025-10-09,111.82,113.0,110.875,110.99,6502403.0
2025-10-10,111.53,112.68,109.11,109.19,9635211.0
2025-10-13,110.39,110.96,109.38,110.27,7435054.0
2025-10-14,109.65,111.84,109.2,111.17,7897966.0
2025-10-15,111.47,112.675,111.14,111.71,7012557.0
2025-10-16,111.79,112.085,108.51,109.88,7531191.0
2025-10-17,109.74,111.46,109.44,110.67,10090543.0
2025-10-20,111.03,112.25,110.6,111.96,8047473.0
2025-10-21,112.25,114.5395,112.04,114.3,8163164.0
2025-10-22,114.0,114.28,112.98,113.08,7569242.0
2025-10-23,113.17,113.83,111.9001,113.03,6945407.0
2025-10-24,113.23,113.65,111.59,111.68,6235183.0
2025-10-27,111.94,112.6,111.31,112.34,6029584.0
2025-10-28,111.91,112.48,111.4623,111.65,6839375.0
2025-10-29,111.18,111.53,110.01,110.24,7097056.0
2025-10-30,110.13,113.5801,109.55,111.84,8311279.0
2025-10-31,111.575,113.1,110.53,112.62,8700619.0
2025-11-03,112.55,112.81,111.03,112.12,8542271.0
